,,,,
m,Average all slots filled,m ln m,,
10,29.451,23.0258509299405,1.279,
20,71.9364,59.9146454710798,1.2006,
40,170.3116,147.555178164557,1.1542,
60,,245.660673733326,,
80,398.7358,350.56213077391,1.1374,
100,,460.517018598809,,
120,,574.499009133845,,
140,,691.829939165303,,
160,904.692,812.027810437412,1.114,
200,,1059.66347330961,,
240,,1315.35334160208,,
280,,1577.74108888739,,
320,2035.0706,1845.86271865401,1.1025,
360,,2118.99745132206,,
400,,2396.58581884319,,
440,,2678.18087984141,,
480,,2963.41732987293,,
520,,3251.99098201925,,
560,,3543.64459888835,,
600,,3838.15779312969,,
640,4506.724,4135.33963286638,1.090,
680,,4435.0231027557,,
720,,4737.06087264727,,
760,,5041.32200929309,,
800,,5347.68938213434,,
840,,5656.05758914338,,
880,,5966.33127857558,,
920,,6278.42377643964,,
1000,,6907.75527898214,,
1080,,7543.49362572773,,
1160,,8185.16332955648,,
1280,9914.9616,9157.90765684949,1.0827,
1560,,11469.80811638,,
1840,,13832.2383651096,,
2120,,16237.443299452,,
2400,,18679.7376392065,,
2560,21601.1298,20090.2720959324,1.0752,
